shift_id,category,note
S101552,equipment_failure,"lift out of order, everything carried up stairs, took long"
S109173,nothing_reported,.
S103055,colleague_absent,stood in for Fourie
S106541,colleague_absent,stood in for Mavuso
S102204,late_handover,"oorhandiging was laat, gewag vir sleutels"
S103344,client_requested,"extra patrol per client email, approved by office"
S108105,relief_no_show,"aflos het nie opgedaag nie, moes aanbly"
S102382,equipment_failure,"gate motor failed, manned it by hand till 06:00"
S106979,colleague_absent,"covering mthembu post, no show no call"
S101551,relief_no_show,"no replacement sent, ngicela sort this out"
S103691,client_requested,Client reuested deep clean before the audit - approved
S100590,colleague_absent,"tok mahlangu shift as wll, 2 posts 1 guard"
S104130,relief_no_show,"no replacement sent, ngicela sort this out"
S101805,equipment_failure,"masjien is stukkend, alls met die hand gedoen"
S107050,colleague_absent,"took Nosi shift as well, 2 pots 1 guard"
S100586,relief_no_show,Next shift guard did not pitch. Had to cover.
S106664,colleague_absent,"Mabaso didnt come in, covered the post"
S106280,client_requested,Client requested deep clean before the audit - approved
S105325,colleague_absent,"Zulu didnt come in, covered the post"
S101883,equipment_failure,"buffer machine kaput, did the floor by hand"
S108332,client_requested,"stocktake ran over, client asked us to remain, they knnow tey pay for it"
S104275,client_requested,"stocktake ran over, client asked us to remai,n they know they pay for it"
S101278,nothing_reported,ok
S106650,colleague_absent,"worked through, Tshabalala at the clinic"
S109304,equipment_failure,"MAASJIEN IS STUKKEND, ALLES MET DIE HAND GEDOEN"
S100889,client_requested,"cllient wanted extra man on the gate for the event, approved"
S109279,nothing_reported,ntr
S101961,nothing_reported,fine
S108951,nothing_reported,quiet shift
S105579,equipment_failure,"lift out of order, everything carried up stairs, took long"
S103829,colleague_absent,"worked through, Jaobs at the clinic"
S105821,client_requested,"extra patrol per clent email, approved by office"
S101230,nothing_reported,ntr
S106561,equipment_failure,"srubber broke down, had to do the floor manually"
S104974,nothing_reported,all quiet
S103973,colleague_absent,Covering for Sibiya - booked off sick
S100485,late_handover,shiift handover delayed by 30 min
S100306,client_requested,Client requested deep clean before the audit - approved
S105701,late_handover,"handover late agn, keys missing !"
S103796,relief_no_show,no relief. stayed. someone must please sort the roster
S106442,nothing_reported,nothing to report
S108776,colleague_absent,stood in for Ndlovu
S104245,late_handover,"oorhandiging was laat, gewag vir sleutels"
S105429,equipment_failure,"generator fault, stayed to monitor"
S104642,colleague_absent,"uDlamini akezanga namhlanje, ngimele yena"
S104321,nothing_reported,quiet shift
S102395,relief_no_show,"aflos het nie opgedaag nie, moes aanbly"
S100719,relief_no_show,no relief. stayed. someone must pls sort the roster
S100928,late_handover,"handover late agn, keys missing"
S108001,colleague_absent,stood in for zuul
S107901,late_handover,"late handover, waiting on paperwork"
S102369,relief_no_show,Next shift guard did not pitch. Had to cover.
S108833,equipment_failure,"buffer machine kaput, did the floor by hand.."
S107059,colleague_absent,"worked through, Dlamini at the clinic.."
S101604,client_requested,"client wanted etra man on the gate for the event, approved.."
S107331,colleague_absent,"covering Wyk post, no show no call"
S103251,nothing_reported,all quiet
S102109,nothing_reported,all good
S103776,client_requested,"client asked us to stay for the delivery, ok'd by centre mgmt"
S104996,client_requested,"additional cover requested by site manager, signed off"
S107964,colleague_absent,"covering Mavuso post, no show no call !"
S107361,relief_no_show,"control room says relief coming, nobody came"
S106102,nothing_reported,fine
S104779,relief_no_show,double shift bc relief never pitched
S107267,nothing_reported,no issues on site
S109331,nothing_reported,
S100873,nothing_reported,as per normal
S108180,equipment_failure,"generator fault, stayed to monitor"
S103781,client_requested,"additional cover requested by site manager, signed off.."
S105156,relief_no_show,double shift because relief never pitched
S100630,colleague_absent,"Dlamini didnt come in, covered the post"
S101058,colleague_absent,"took Fourie shift as well, 2 poosts 1 guard"
S108709,nothing_reported,all good
S102622,disputed_client_request,client signed for the extra hours but real reason is relief no show again
S105088,colleague_absent,"Maluleke absent, took her rounds as wlel"
S102662,client_requested,Client requested deeep clean before the audit - aproved..
S101209,late_handover,"handover late again, keys missing"
S107717,colleague_absent,"Sibiya didnt come in, covered the post"
S104651,colleague_absent,"double duty today, Ndovu on family responsibility leave"
S100579,client_requested,Centre mgr requested additional coer for stocktake
S106967,equipment_failure,"machine down agn, took twice as long"
S102050,colleague_absent,"gedk vir Sithole, siek gemeld"
S105339,colleague_absent,Covered for Mahlangu agn - 3rd time this month
S105952,colleague_absent,"gedek vir Sibiya, siek gemeld"
S105834,equipment_failure,"generator fault, stayed to monitor"
S104442,client_requested,"client wanted extra man on the gate for the event, approved"
S104531,colleague_absent,"gedek vir Motaung, siek geemld"
S100817,nothing_reported,all good
S102880,equipment_failure,"scrubber broke down, had to do the floor manually"
S108544,colleague_absent,Covered for Zulu again - 3rd time this month
S108079,late_handover,"late handover, waiting on paperwork"
S107287,equipment_failure,"buffer machine kaput, did the floor by hand"
S109328,client_requested,extra hrs approved by client for the event setup
S102181,colleague_absent,Covered for Naidoo again - 3rd tie this month
S105471,nothing_reported,all good
S106973,client_requested,"client asked us to stay for the delivery, ok'd by centre mgmt.."
S100088,colleague_absent,"coering Blaoyi post, no show no call.."
S105483,client_requested,centre mgr requested additional covre for stocktake
S108451,colleague_absent,"took Botha shift as well, 2 posts 1 guard"
S100501,equipment_failure,"generator fault, styed to mointor"
S102158,colleague_absent,"uTshabalala akezanga namhlanje, ngimele yena"
S107206,nothing_reported,nothing to report
S108767,client_requested,Client asked for extra patrol after the break-in Tuesday..
S103619,client_requested,"extra patrol per client emil, approved by office"
S105340,relief_no_show,relief no show AGAIN
S106430,nothing_reported,fine
S100294,late_handover,"late handover, waiting on paperwork"
S107595,nothing_reported,as per normal
S108470,relief_no_show,"next shift akafikanga, ngihlale kuze kube 0600"
S109238,nothing_reported,
S100975,late_handover,"late handover, waiting on paperwork"
S108288,relief_no_show,"still on site, relief was suppose to come 6am"
S104068,client_requested,"client wantd extra man on the gate for the event, approved"
S103397,colleague_absent,Covering for Khumalo - booked off sick
S104116,colleague_absent,"uMaluleke akezanga namhlanje, ngimele yena"
S103456,client_requested,"extra patrol per client email, approevd by office"
S106546,colleague_absent,"khumalo didnt come in, covered the post"
S100717,relief_no_show,"next shift akafikanga, ngihlale kuze kube 6am"
S106042,client_requested,client requested deep clean before the audit - approved
S104526,nothing_reported,
S108657,client_requested,client asked for extra patrol after the break--in tuesday
S100595,disputed_client_request,client signed for the extra hours but real reason is relief no show agn..
S107088,client_requested,"additional cover requested by site mgr, signed off"
S107885,client_requested,extra hours approved by client for the event setup
S107627,equipment_failure,"gnerator fault, stayed to monitor.."
S106573,colleague_absent,"Naidoo didt come in, covered the post"
S107746,relief_no_show,"still on site, relief was suppose to come 06h00"
S107218,nothing_reported,ntr
S106989,equipment_failure,"buffer machine kaput, did the floor by hand"
S100301,relief_no_show,"still on site, relief was suppose to come 06:00"
S104331,colleague_absent,"molefe absent, took her rounds as well"
S102253,nothing_reported,all quiet
S107504,nothing_reported,ok
S100384,relief_no_show,"control room says relief coming, nobody came"
S106492,client_requested,"requested by centre management for load in, signed off"
S105436,equipment_failure,"machine down again, took twice as long"
S102650,nothing_reported,all quiet
S103589,relief_no_show,relief no show AGAIN
S106553,relief_no_show,Next shift guard did not pitch. Had to cover.
S107376,relief_no_show,"next shift akafikanga, ngihlale kuze kube 6 !"
S105329,relief_no_show,double shift because relief never picthed !
S109293,late_handover,"waited 45 min for handover, OB book not signed"
S106233,colleague_absent,Mokoena off sick. again. covered.
S106536,colleague_absent,"double duty today, Sithole on family responsibility leave"
S109261,late_handover,"handover late agn, keys missing"
S103809,relief_no_show,"waited for relief, nobody caame through"
S105550,client_requested,extra hrs apprvoed by clietn for the event setp
S102179,late_handover,"waited 40 min for handover, OB book not signed"
S102377,late_handover,"late handover, waiting on paperwork"
S105071,relief_no_show,"no replacement sent, ngicela sort this out"
S105155,nothing_reported,sharp
S106680,client_requested,Client asked for extra patrool after the break-in Tuesday
S107580,colleague_absent,"geddek vir wyk, siek gemeld"
S102879,late_handover,"waited 25 min for handover, OB book not signed"
S101725,nothing_reported,ok
S105880,late_handover,"late handover, waiting on paperwork"
S106235,colleague_absent,"gedek vir Tshabalala, siek gemeld"
S106457,colleague_absent,"USIBIYA AKEZANA NAMHLANJE, NGIMELE YENA.."
S106046,client_requested,"extra patrol per client email, approved by office"
S107572,nothing_reported,-
S106375,relief_no_show,"still on site, relieef was suppose to come six"
S103012,client_requested,Centre mgr requested additional cover for stocktae
S109078,nothing_reported,ok
S101275,nothing_reported,.
S103735,nothing_reported,akukho lutho
S108835,client_requested,"client wanted extra man on the gate for the event, approved"
S107894,relief_no_show,"relief only arrived 0600, stayed until then"
S108026,equipment_failure,"srubber broke down, had to do the floor manually"
S108082,nothing_reported,quiet shift
S108285,colleague_absent,"took Zulu shift as well, 2 posts 1 guard"
S101069,nothing_reported,
S107875,late_handover,"oorhandiging was laat, gewag vir sleutels"
S103391,relief_no_show,"relief never arrived, stayed on till six"
S101905,nothing_reported,.
S103424,client_requested,Client requested deep clean before the audit - approved
S103988,equipment_failure,"buffeer machine kaput, did the floor by hand"
S105735,colleague_absent,"worked through, sibiya at the clinic"
S102953,equipment_failure,"gate motoor failed, manned it by hadn till 6"
S106580,colleague_absent,"umolefe akezanga namhlanje, ngimele yena"
S108038,colleague_absent,"Ndlovu absent, took her rounds as well"
S103338,late_handover,"late hanodver, waiting on paperwork"
S106132,colleague_absent,Covering for Wyk - booked off sick
S107079,client_requested,Client asked for extra patrol after the break-in Tuesday
S101822,colleague_absent,"uSibiya akezanga namhlanje, ngimele yena"
S105051,late_handover,"handover late again, keys missing"
S103751,relief_no_show,"still on site, relief was suppose to come six"
S108478,relief_no_show,Next shift guard did not pitch. Had to cover.
S106097,relief_no_show,"aflos het nie opgedaag nie, moes aanbly"
S104397,nothing_reported,nothing to report
S108061,late_handover,shift handover delayed by 30 min
S102528,equipment_failure,"generator fault, stayed to monitor !"
S100587,colleague_absent,Nkosi off sick. agn. coveredd.
S109297,colleague_absent,"uBotha akezanga namhlanjje, ngimele yena"
S104857,unclear,"client says stay till 06h00, dont know if office approved"
S101939,late_handover,"waited 50 min for handover, OB book not signed"
S104803,colleague_absent,"took Mokoena shift as well, 2 posts 1 guard"
S103509,colleague_absent,"double duty today, Baloyi on family responsibility leave"
S104449,nothing_reported,sharp
S100032,relief_no_show,"control room says relef coming, nobody came"
S101590,relief_no_show,"control room says relief coming, nobody came"
S104355,client_requested,"additional cover requested by site mgr, signed off"
S103661,relief_no_show,"aflos het nie opgedaag nie, moes aanbly"
S102838,client_requested,"client asked us to stay for the delivery, ok'd by centre mgmt.."
S106807,client_requested,CLIENT ASKED FOR EXTRA PATROL AFTER THE BREAK-IN TUESDAY
S105053,client_requested,klient het ekstra ure gevra vir stocktake !
S102453,nothing_reported,ntr
S101640,nothing_reported,all fine
S105352,unclear,"client says stay till six, dont know if office approved"
S106225,equipment_failure,"GENERATOR FAULT, STAYED TO MONITOR.."
S104164,equipment_failure,"scrubber broke don, had to do the floor manually"
S100309,colleague_absent,Jacobs off sick. ag.n covered.
S103077,relief_no_show,no relif. stayed. someone must please sort the roster
S102386,colleague_absent,"took Mabaso shift as well, 2 posts 1 guard"
S101769,equipment_failure,"buffer machine kaput, did the floor by hand"
S104379,colleague_absent,"uBotha akezanga namhlanje, ngimele yena"
S108123,nothing_reported,ntr
S101704,equipment_failure,"buffer machine kaput, did the floor by hand !"
S108837,nothing_reported,no issues on site
S103018,relief_no_show,"next shift akafikanga, ngihlale kuzze kube 06h00"
S106806,colleague_absent,"Naidoo didnt come in, covered the post.."
S106376,colleague_absent,"took Nkosi shift as well, 2 posts 1 guard"
S106252,colleague_absent,"took Naidoo shift as well, 2 posts 1 guard"
S103649,colleague_absent,"uNaidoo akezanga namhlanje, ngimele yena"
S107240,client_requested,"extra patrol per client email, approved by ofice"
S108016,unclear,"client says stay till 06h00, dont know if office approved"
S104249,nothing_reported,all quiet
S106902,unclear,"client says stay till 0600, dont know if office approved"
S102656,colleague_absent,"Ngcobo absent, took her rounds as well.."
S109305,colleague_absent,"Mokoena absent, took her rounds as well"
S105537,colleague_absent,"nkosi absent, took her rounds as well !"
S102317,nothing_reported,nothing to report
S104575,nothing_reported,no issues on site
S103458,relief_no_show,no relief. stayed. someone must please sort the roster !
S102929,relief_no_show,"next shift akafikanga, ngihlale kuze kube 6"
S101338,nothing_reported,nothing to report
S104868,nothing_reported,niks om te rapporteer nie
S107133,relief_no_show,relief no show again..
S102570,relief_no_show,"sill on site, relief was spupose to come 6am"
S106476,equipment_failure,"lift out of order, everything carried up stairs, took lng"
S100784,colleague_absent,"worked through, ndlovu at the clinic.."
S106925,equipment_failure,"lift out of order, everything carried up stairs, took long"
S107886,late_handover,shift handover delayed by 50 min
S102295,colleague_absent,"jacobs absent, took her rounds as well"
S100775,nothing_reported,quiet shift
S103402,equipment_failure,"machine down agn, took twice as long"
S105318,disputed_client_request,client signed for the extra hours but real reason is relief no show agn !
S101812,nothing_reported,ntr
S102723,late_handover,"oorhandiging was laat, gewag vir sleutels"
S105460,equipment_failure,"lift out of order, everything carried up stairs, took long"
S101597,colleague_absent,"double duty today, maluleke on family responsibility leave.."
S105342,colleague_absent,"umthembu akezanga namhlanje, ngimele yena"
S103470,late_handover,shft handover dealyed by 25 min
S103005,colleague_absent,"took dlaminni shift as well, 2 posts 1 guard"
S107332,colleague_absent,"gedek vir Hendricks, siek geemeld"
S104121,client_requested,client requested deep clean before the audt - approved
S103105,nothing_reported,fine
S105346,equipment_failure,"machien down agn, took twice as long"
S101120,colleague_absent,Zulu off sick. agn. covered.
S107414,late_handover,shift handovver delayed by 50 min
S100713,colleague_absent,Naidoo off sick. again. covered..
S106901,colleague_absent,"took mthembu shift as well, 2 pots 1 guard"
S100603,relief_no_show,"waited for relief, nobody came through"
S107506,colleague_absent,"took Wyk shift as well, 2 posts 1 guard"
S105585,equipment_failure,"scrubber broke dwn, had to do the floor mnually"
S104423,colleague_absent,"DLAMINI DIDNT COME IN, COVERED THE POST"
S104093,client_requested,"client wanted extra man on the gate for the event, approved"
S109323,equipment_failure,"gate motor failed, manned it by hand till 6.."
S103163,nothing_reported,
S102367,colleague_absent,"took Tshabalala shift as well, 2 posts 1 guadr"
S104076,nothing_reported,no incidents
S101592,client_requested,"additional cover requested by site mgr, signed off.."
S108943,nothing_reported,niks om te rapporteer nie
S108665,client_requested,"client asked us to stay for the delivery, ok'd by centre mgmt"
S101471,late_handover,"handover late agn, keys missing"
S108186,colleague_absent,COVERED FOR NDLOVU AGAIN - 3RD TIME THIS MONTH
S102372,disputed_client_request,client signed for the extra hours but real reason is relief no show agn
S105629,relief_no_show,"waited for relief, nobody came through"
S100238,client_requested,extra hrs approved by client for the event setup
S103418,client_requested,extra hours approved by client for the event setup
S108305,client_requested,klient het ekstra ure gevra vir stocktake
S102972,relief_no_show,Next shift guard did not pitch. Had to cover.
S102449,client_requested,centre mgr requested additional cover for stocktake..
S104536,colleague_absent,"COVERING DLAMINI POST, NO SHOW NO CALL"
S108855,client_requested,"requested by centre management for load in, signed off"
S106382,relief_no_show,double shift bc relief never pitched
S104699,late_handover,"waited 40 min for handover, ob book not signed"
S100284,colleague_absent,"double duty today, Sithole on family responsibility leave.."
S106896,client_requested,Centre manager requested additional cover for stocktake
S102287,client_requested,extra hrs approved by client for the event setup
S100470,colleague_absent,"covering Mabaso post, no show no call.."
S103051,equipment_failure,"buffer machine kaput, did the floor by hand"
S101438,late_handover,"handover late agn, keys missing"
S104956,nothing_reported,-
S102887,disputed_client_request,client signed for the extra hrs but real reason is relieef no show again
S105496,relief_no_show,"relief never arrived, stayed on till 06h00 !"
S107708,colleague_absent,Covering for Ngcobo - booked off sick
S106406,client_requested,"additional cover requested by site manager, signed off"
S101394,nothing_reported,
S108604,relief_no_show,"relief only arrived six, stayed until then"
S101046,equipment_failure,"gate motor failed, manned it by hand till six"
S106395,colleague_absent,"covering Mthembu postt, no show no call"
S108405,equipment_failure,"gate motor failed, manned it by hand till 06:00"
S102416,equipment_failure,"generator fault, stayed to monitor"
S104541,colleague_absent,"Adams didnt come in, covered the post"
S108993,relief_no_show,"next shift akafikanga, ngihlale kuze kube 6"
S105190,nothing_reported,as per normal
S106985,client_requested,"extra patrol per client email, approved by officce"
S103441,relief_no_show,relief no show AGAIN
S101222,nothing_reported,all good
S100315,relief_no_show,"no repacement sent, ngicela sort this out"
S108612,relief_no_show,double shift because reief never pitched
S104092,late_handover,"handover late agn, keys missing"
S107148,nothing_reported,all quiet
S109322,client_requested,Client asked for extra patrol after the break-in Tuesday
S103819,colleague_absent,"uJacobs akezanga namhlanje, ngimele yena"
S101795,equipment_failure,"machine down agn, took twice as long.."
S106892,relief_no_show,"control room sasy relief coming, nobody came"
S100706,unclear,"cllient says stay till 6, dont know if office approved"
S100443,nothing_reported,all fine
S108441,equipment_failure,"bufefr machine kapu, did the floor by hand"
S102862,relief_no_show,"no replacement sent, ngicela sort this out"
S102601,client_requested,Client asked for extra ptrol after the break-in Tuesday
S107530,colleague_absent,"uFourie akezanga namhlanje, ngimele yena"
S101714,relief_no_show,"relief only arrived 06:00, stayed until then.."
S103445,relief_no_show,no relief. stayed. someone must please sort the roster
S100171,client_requested,Client asked for extra patrol after the break-in Tuesday..
S105092,nothing_reported,fine
S105372,nothing_reported,sharp
S107478,client_requested,centre manager requested additional cover for stocktake
S103330,client_requested,klent het ekstra ure gevra vir stocktake
S103627,disputed_client_request,cliient signed for the extra hours but real reeason is relief no show agn
S104250,nothing_reported,nothing to report
S104099,nothing_reported,
S107066,client_requested,"requested by centre management for load in, signed off"
S103601,colleague_absent,jacobs off sick. again. covered.
S105011,client_requested,Client requested deep clean before the audit - approved
S103634,nothing_reported,ntr
S103549,client_requested,klient het ekstra ure gevra vir stocktake
S106414,late_handover,"waited 40 min for handover, OB book not signed"
S102937,colleague_absent,stood in for Molefe
S106884,colleague_absent,"GEDEK VIR HENDRICKS, SIEK GEMELD"
S107859,nothing_reported,
S107514,client_requested,"client wanted extra man on the gate for the event, approved"
S101947,colleague_absent,"covering Mabaso post, no show no cll"
S108374,relief_no_show,"relief only arrived 06h00, stayyed until then"
S104492,relief_no_show,relief no show AGGAIN
S109335,client_requested,"client asked us to stay for the delivery, ok'd by centre mgmt"
S108103,nothing_reported,no incidents
S101011,late_handover,"handover late again, keys missing"
S107101,nothing_reported,quiet shift
S100886,client_requested,klient het ekstra ure gevra vir stocktake
S103065,late_handover,"waited 40 min for handover, OB book not signed"
S105811,relief_no_show,"still on site, relief was suppose to come 0600"
S100922,client_requested,"client wanted extra man on the gate for the event, approved"
S107253,equipment_failure,"machine down again, took twice as long"
S100473,unclear,"clint says stay till six, doont know if office approved"
S101512,equipment_failure,"lift out of order, everything carried up stairs, took long"
S105973,colleague_absent,"Naidoo abset, took her runds as weell"
S109203,colleague_absent,"Fourie absen, took her rounds as well"
S102376,client_requested,"extra patrol per client emaail, apprroved by office"
S104162,nothing_reported,quiet shift
S108378,colleague_absent,"covering Jacobs post, no show no call"
S102860,relief_no_show,"relief never arrived, stayed on till six.."
S108045,colleague_absent,Covered for Sithole agn - 3rd time this month
S100416,client_requested,"extra patrol per client email, approved by office"
S100553,relief_no_show,"control room says relief coming, nobody came"
S106578,client_requested,centre manager requested additional cover for stocktake !
S103436,colleague_absent,"fourie didnt come in, covered the post"
S106657,late_handover,"waited 30 min for handover, OB book not signed.."
S100222,nothing_reported,
S102131,client_requested,"client asked us to stay for the deliivery, ok'd by centre mgmt"
S102206,nothing_reported,all good
S107980,relief_no_show,"control room sayys relief coming, noboddy came"
S101027,nothing_reported,ntr
S102265,nothing_reported,ok
S105840,relief_no_show,"no replacement sent, ngicela sort this out"
S104369,colleague_absent,"covering sibiya post, no show no call"
S109245,nothing_reported,no issues on site
S106428,relief_no_show,"waited for relief, nobody came through"
S106726,nothing_reported,all quiet
S104286,nothing_reported,all good
S109318,relief_no_show,"control room says relief coming, nobody came"
S107314,colleague_absent,"gedek vir ngcobo, siek gemeld"
S101268,colleague_absent,"took Jacobs shift as wel, 2 posts 1 guard"
S103801,nothing_reported,sharp
S102117,late_handover,shift handover delayed by 25 min
S103605,colleague_absent,Ngcobo off sick. agn. covered.
S105649,colleague_absent,Covered for Zulu again - 3rd time this month
S103805,colleague_absent,"covering Zulu post, no sow no call"
S104662,colleague_absent,"worked through, Botha at the clinic"
S108863,colleague_absent,"double duty today, sithole on family responsibility leave"
S108464,relief_no_show,"next shift akafikanga, ngihlale kuze kue six"
S103768,client_requested,"client wanted extra man on the gate for the event, approved"
S106467,client_requested,Client asked for extra patrol after the break-in Tuesday
S107876,relief_no_show,"relief never arrived, sayed on till 6am"
S108453,late_handover,"waited 30 min for handover, OB book not signed"
S106960,client_requested,Client asked for extra patrol after the break-in Tuessday
S107620,disputed_client_request,client signed for the extra hours but real reason is relief no show again
S106436,relief_no_show,"control room says relief coming, nobody came"
S100015,nothing_reported,quiet shift
S109351,late_handover,"waited 45 min for handover, OB book not signed.."
S101865,late_handover,"handover late again, keys missing"
S100343,equipment_failure,"scrubber broke down, had to do the floor manually"
S102628,equipment_failure,"lift out of orrder, everything carried up stairs, took long"
S105144,nothing_reported,
S106167,client_requested,Client asked for extra patrol after the break-in Tuseday
S109291,colleague_absent,"COVERING MOLEFE POST, NO SHOW NO CALL"
S107036,nothing_reported,all quiet
S101324,client_requested,"requested by centre management for load in, signed off"
S102771,relief_no_show,"no replacement sent, ngicela sort this out"
S103828,equipment_failure,"lift out of order, everything carried up stairs, took long"
S106963,relief_no_show,double shift bc relief never pitched..
S100350,colleague_absent,"took Maluleke shiift as well, 2 posts 1 guard.."
S105251,nothing_reported,no incidents
S109337,relief_no_show,"aflos het nie opgedaag nie, moes aanbly"
S107030,nothing_reported,akukho lutho
S107531,equipment_failure,"MACHINE DOWN AGN, TOOK TWICE AS LONG"
S103094,colleague_absent,"uNaidoo akezanga namhlanje, ngimele yena"
S108359,equipment_failure,"gaate motor failed, manned it by hand till 06:00"
S107983,client_requested,"stocktake ran over, client asked us to remain, they know they pay for it"
S106270,nothing_reported,ntr
S104755,nothing_reported,as per normal
S108437,relief_no_show,"relief never arrived, stayed on till 6"
S108936,nothing_reported,all good
S104485,nothing_reported,
S107191,colleague_absent,Mthembu off sicck. again. covered.
S107032,late_handover,"oorhandiging was laat, gewag vir sleutels.."
S107658,colleague_absent,Jacobs off sic. again. covered.
S102474,nothing_reported,akukho lutho
S108807,equipment_failure,"gate motor failed, manned it by hand till 06:00"
S105639,nothing_reported,as per normal
S103380,relief_no_show,Next shift guard did not pitch. Had to cover.
S100305,colleague_absent,"uBaloyi akezanga namhlanje, ngimele yena.."
S106612,nothing_reported,sharp
S104114,relief_no_show,"relief never arrived, stayed on till 6am"
S107752,equipment_failure,"generator fault, stayed to monitor"
S103631,relief_no_show,"WAITED FOR RELIEF, NOBODY CAME THROUGH"
S101281,nothing_reported,akukho lutho
S107724,client_requested,"stocktake ran over, client asked us to remain, they know they pay for it"
S108830,client_requested,"requested by cenre management for load in, siged off"
S106222,equipment_failure,"scrubber broke down, had to do the floor manually"
S105604,colleague_absent,"ndlovu absent, took her rounds as well"
S104081,relief_no_show,"no replacement sent, ngicela sort this out"
S107132,colleague_absent,stood in for Motaug
S104538,nothing_reported,ok
S106341,colleague_absent,"double duty today, sibiya on family responsibility leave"
S107889,client_requested,"additional cover requested by site manager, signed off"
S101533,equipment_failure,"gate motor failed, manned it by hand till 06h00"
S103759,client_requested,"client wanted extra man on the gate for the event, approved"
S105298,nothing_reported,nothing to report
S104929,colleague_absent,"uMolefe akezanga namhlanje, ngimele yena"
S103561,colleague_absent,"toook motaung shift as well, 2 posts 1 guard"
S106152,nothing_reported,no issues on site
S103404,colleague_absent,"took Dlamini shiift as well, 2 psots 1 guard"
S108615,colleague_absent,wyk off sick. again. covered..
S100880,colleague_absent,"Ndlovu absent, took her rounds as well"
S106530,late_handover,shift handover delayed by 25 min
S107460,client_requested,"stocktake ran over, client asked us to remain, they know they pay for it.."
S105794,colleague_absent,Covered for Sithole again - 3rd time this month
S108813,client_requested,Client asked for extra patrol after the brea-kin Tuesday
S105097,relief_no_show,"still on site, relief was suppose to come 06:00"
S104127,client_requested,"client asked us to stay for the delivery, ok'd by centre mgmt.."
S107343,colleague_absent,"umabaso akezanga namhlanje, ngimele yena.."
S107062,equipment_failure,"lift out of order, everything carried up stairs, took long"
S100273,colleague_absent,Covering for Molefe - booked off sick
S108901,nothing_reported,fine
S108349,client_requested,klieent het ekstra ure gevra vir stocktake
S107147,equipment_failure,"machine down again, took twice as long.."
S100281,client_requested,"requested by centre management for load in, signed off !"
S100538,client_requested,"client asked us to stay for the delivery, ok'd by centre mgmt.."
S106516,late_handover,"handover late again, keys missing.."
S108299,nothing_reported,no issues on site
S100596,late_handover,shift handover delayed by 45 min
S102082,colleague_absent,"covering Ndlovu post, no show no call"
S104102,colleague_absent,"usibiya akezanga namhlanje, ngimele yena.."
S100691,equipment_failure,"machine down again, took twice as long"
S104098,nothing_reported,fine
S105612,colleague_absent,"Botha absent, took her rounds as well.."
S101811,relief_no_show,Next shifft guard did not pitch. Had to cover.
S100381,relief_no_show,"still on site, relief was supose to come six"
S108015,colleague_absent,"COVERING SIBIYA POST, NO SHOW NO CALL"
S106575,colleague_absent,"took Mthembu shift as well, 2 possts 1 guard"
S104461,nothing_reported,no incidents
S109344,colleague_absent,motaung off sick. again. covered.
S105742,colleague_absent,"Motaung absent, took her rounds as well"
S107902,relief_no_show,"next shift akafikanga, ngihlale kuze kube 06h00"
S108847,client_requested,"reequested by centre management for load in, signed off.."
S109070,colleague_absent,"gedek vir Wyk, siek gemeld"
S105652,late_handover,"handover late agn, keys missing"
S108189,client_requested,Client requested deep clean before the audit - approved..
S101786,late_handover,"handover late agian, keys missing"
S107322,unclear,"client says stay till 06h00, dont know if office apprved"
S108597,late_handover,"handover late an, keys missing.."
S101542,relief_no_show,"relief never arrived, stayed on till 06:00"
S102467,nothing_reported,sharp
S101960,client_requested,"requested by centre management for load in, signed off"
S103581,client_requested,extra hrs approved by client for the event setup
S100291,nothing_reported,fine
S100640,nothing_reported,quiet shift
S103417,colleague_absent,stood in for maluleke
S103787,equipment_failure,"generator fault, stayed to monitor"
S106663,equipment_failure,"buffer machine kaput, did the floor by hand"
S109355,nothing_reported,no incidents
S101494,nothing_reported,all quiet
S106413,relief_no_show,double shift beccause relief never pitched
S102366,relief_no_show,"nxet shift akafikanga, ngihlale kuze kube 06:00"
S109381,equipment_failure,"scrubber broke down, had to do the floor manually"
S105820,client_requested,extra hrs approved by client for the event setup
S103804,nothing_reported,all fine
S100567,client_requested,clint requested deep clean before the audit - approved
S107814,equipment_failure,"scrubber broke down, had to do the floor manually !"
S106214,relief_no_show,double shift because relief never pitched
S104104,client_requested,"client asked us to saty for the delivery, ok'd by centre mgmt !"
S108438,colleague_absent,stood in for Fuorie..
S106101,relief_no_show,"aflos het nie opgedaag nie, mooes aanbly"
S101900,client_requested,"extra patrol per client email, approved by office"
S101758,client_requested,Client requested deep clean before the audit - approved
S103750,equipment_failure,"gate motor failed, manned it by hand till six"
S104210,colleague_absent,"Tshabalala didnt come in, covered the post.."
S102428,client_requested,"stocktake ran over, client asked us to remain, they know they pay for it"
S101589,relief_no_show,"conntrol room says relief coming, nobody came"
S108459,equipment_failure,"scrubber broe down, had to do the floor manually"
S106458,unclear,"client says stay till 6am, dont know if office approved"
S104579,late_handover,"handover late agn, keys missing"
S102522,unclear,"client says stay till 06:00, dont know if office approved"
S101853,unclear,"client says stay till 6, dont know if office approved"
S101531,colleague_absent,Covered for Wyk again - 3rd time this month
S101187,nothing_reported,
S107895,relief_no_show,"still on siet, relief was suppose to come 06:00.."
S106397,disputed_client_request,client signed for the extra hrs but real reason is relief no show agn
