shift_id,logged_by,note
S108105,SUP-04,"aflos het nie opgedaag nie, moes aanbly"
S102382,SUP-06,"gate motor failed, manned it by hand till 06:00"
S106979,SUP-15,"covering mthembu post, no show no call"
S101551,SUP-10,"no replacement sent, ngicela sort this out"
S103691,SUP-19,Client reuested deep clean before the audit - approved
S100590,SUP-22,"tok mahlangu shift as wll, 2 posts 1 guard"
S104130,SUP-20,"no replacement sent, ngicela sort this out"
S101805,SUP-22,"masjien is stukkend, alls met die hand gedoen"
S107050,SUP-23,"took Nosi shift as well, 2 pots 1 guard"
S100586,SUP-18,Next shift guard did not pitch. Had to cover.
S106664,SUP-06,"Mabaso didnt come in, covered the post"
S106280,SUP-07,Client requested deep clean before the audit - approved
S105325,SUP-23,"Zulu didnt come in, covered the post"
S101883,SUP-20,"buffer machine kaput, did the floor by hand"
S108332,SUP-19,"stocktake ran over, client asked us to remain, they knnow tey pay for it"
S104275,SUP-02,"stocktake ran over, client asked us to remai,n they know they pay for it"
S101278,SUP-20,ok
S106650,SUP-21,"worked through, Tshabalala at the clinic"
S109304,SUP-16,"MAASJIEN IS STUKKEND, ALLES MET DIE HAND GEDOEN"
S100889,SUP-14,"cllient wanted extra man on the gate for the event, approved"
S109279,SUP-15,ntr
S101961,SUP-15,fine
S108951,SUP-02,quiet shift
S105579,SUP-18,"lift out of order, everything carried up stairs, took long"
S103829,SUP-24,"worked through, Jaobs at the clinic"
S105821,SUP-16,"extra patrol per clent email, approved by office"
S101230,SUP-20,ntr
S106561,SUP-05,"srubber broke down, had to do the floor manually"
S104974,SUP-08,all quiet
S103973,SUP-23,Covering for Sibiya - booked off sick
S100485,SUP-24,shiift handover delayed by 30 min
S100306,SUP-07,Client requested deep clean before the audit - approved
S105701,SUP-17,"handover late agn, keys missing !"
S103796,SUP-07,no relief. stayed. someone must please sort the roster
S106442,SUP-19,nothing to report
S108776,SUP-22,stood in for Ndlovu
S104245,SUP-17,"oorhandiging was laat, gewag vir sleutels"
S105429,SUP-08,"generator fault, stayed to monitor"
S104642,SUP-06,"uDlamini akezanga namhlanje, ngimele yena"
S104321,SUP-15,quiet shift
S102395,SUP-01,"aflos het nie opgedaag nie, moes aanbly"
S100719,SUP-13,no relief. stayed. someone must pls sort the roster
S100928,SUP-18,"handover late agn, keys missing"
S108001,SUP-08,stood in for zuul
S107901,SUP-09,"late handover, waiting on paperwork"
S102369,SUP-05,Next shift guard did not pitch. Had to cover.
S108833,SUP-23,"buffer machine kaput, did the floor by hand.."
S107059,SUP-01,"worked through, Dlamini at the clinic.."
S101604,SUP-10,"client wanted etra man on the gate for the event, approved.."
S107331,SUP-17,"covering Wyk post, no show no call"
S103251,SUP-11,all quiet
S102109,SUP-09,all good
S103776,SUP-22,"client asked us to stay for the delivery, ok'd by centre mgmt"
S104996,SUP-19,"additional cover requested by site manager, signed off"
S107964,SUP-08,"covering Mavuso post, no show no call !"
S107361,SUP-13,"control room says relief coming, nobody came"
S106102,SUP-03,fine
S104779,SUP-04,double shift bc relief never pitched
S107267,SUP-08,no issues on site
S109331,SUP-17,n/a
S100873,SUP-11,as per normal
S108180,SUP-23,"generator fault, stayed to monitor"
S103781,SUP-19,"additional cover requested by site manager, signed off.."
S105156,SUP-06,double shift because relief never pitched
S100630,SUP-23,"Dlamini didnt come in, covered the post"
S101058,SUP-10,"took Fourie shift as well, 2 poosts 1 guard"
S108709,SUP-21,all good
S102622,SUP-10,client signed for the extra hours but real reason is relief no show again
S105088,SUP-03,"Maluleke absent, took her rounds as wlel"
S102662,SUP-16,Client requested deeep clean before the audit - aproved..
S101209,SUP-07,"handover late again, keys missing"
S107717,SUP-06,"Sibiya didnt come in, covered the post"
S104651,SUP-15,"double duty today, Ndovu on family responsibility leave"
S100579,SUP-05,Centre mgr requested additional coer for stocktake
S106967,SUP-02,"machine down agn, took twice as long"
S102050,SUP-09,"gedk vir Sithole, siek gemeld"
S105339,SUP-08,Covered for Mahlangu agn - 3rd time this month
S105952,SUP-02,"gedek vir Sibiya, siek gemeld"
S105834,SUP-09,"generator fault, stayed to monitor"
S104442,SUP-01,"client wanted extra man on the gate for the event, approved"
S104531,SUP-01,"gedek vir Motaung, siek geemld"
S100817,SUP-15,all good
S102880,SUP-23,"scrubber broke down, had to do the floor manually"
S108544,SUP-16,Covered for Zulu again - 3rd time this month
S108079,SUP-13,"late handover, waiting on paperwork"
S107287,SUP-15,"buffer machine kaput, did the floor by hand"
S109328,SUP-10,extra hrs approved by client for the event setup
S102181,SUP-10,Covered for Naidoo again - 3rd tie this month
S105471,SUP-07,all good
S106973,SUP-18,"client asked us to stay for the delivery, ok'd by centre mgmt.."
S100088,SUP-08,"coering Blaoyi post, no show no call.."
S105483,SUP-14,centre mgr requested additional covre for stocktake
S108451,SUP-12,"took Botha shift as well, 2 posts 1 guard"
S100501,SUP-18,"generator fault, styed to mointor"
S102158,SUP-08,"uTshabalala akezanga namhlanje, ngimele yena"
S107206,SUP-09,nothing to report
S108767,SUP-08,Client asked for extra patrol after the break-in Tuesday..
S103619,SUP-08,"extra patrol per client emil, approved by office"
S105340,SUP-14,relief no show AGAIN
S106430,SUP-13,fine
S100294,SUP-20,"late handover, waiting on paperwork"
S107595,SUP-08,as per normal
S108470,SUP-04,"next shift akafikanga, ngihlale kuze kube 0600"
S109238,SUP-21,
S100975,SUP-17,"late handover, waiting on paperwork"
S108288,SUP-21,"still on site, relief was suppose to come 6am"
S104068,SUP-18,"client wantd extra man on the gate for the event, approved"
S103397,SUP-04,Covering for Khumalo - booked off sick
S104116,SUP-06,"uMaluleke akezanga namhlanje, ngimele yena"
S103456,SUP-08,"extra patrol per client email, approevd by office"
S106546,SUP-18,"khumalo didnt come in, covered the post"
S100717,SUP-07,"next shift akafikanga, ngihlale kuze kube 6am"
S106042,SUP-15,client requested deep clean before the audit - approved
S104526,SUP-06,n/a
S108657,SUP-23,client asked for extra patrol after the break--in tuesday
S100595,SUP-01,client signed for the extra hours but real reason is relief no show agn..
S107088,SUP-06,"additional cover requested by site mgr, signed off"
S107885,SUP-13,extra hours approved by client for the event setup
S107627,SUP-12,"gnerator fault, stayed to monitor.."
S106573,SUP-12,"Naidoo didt come in, covered the post"
S107746,SUP-21,"still on site, relief was suppose to come 06h00"
S107218,SUP-07,ntr
S106989,SUP-09,"buffer machine kaput, did the floor by hand"
S100301,SUP-21,"still on site, relief was suppose to come 06:00"
S104331,SUP-24,"molefe absent, took her rounds as well"
S102253,SUP-21,all quiet
S107504,SUP-21,ok
S100384,SUP-03,"control room says relief coming, nobody came"
S106492,SUP-08,"requested by centre management for load in, signed off"
S105436,SUP-11,"machine down again, took twice as long"
S102650,SUP-10,all quiet
S103589,SUP-12,relief no show AGAIN
S106553,SUP-12,Next shift guard did not pitch. Had to cover.
S107376,SUP-03,"next shift akafikanga, ngihlale kuze kube 6 !"
S105329,SUP-08,double shift because relief never picthed !
S109293,SUP-14,"waited 45 min for handover, OB book not signed"
S106233,SUP-13,Mokoena off sick. again. covered.
S106536,SUP-14,"double duty today, Sithole on family responsibility leave"
S109261,SUP-06,"handover late agn, keys missing"
S103809,SUP-02,"waited for relief, nobody caame through"
S105550,SUP-15,extra hrs apprvoed by clietn for the event setp
S102179,SUP-19,"waited 40 min for handover, OB book not signed"
S102377,SUP-18,"late handover, waiting on paperwork"
S105071,SUP-08,"no replacement sent, ngicela sort this out"
S105155,SUP-11,sharp
S106680,SUP-03,Client asked for extra patrool after the break-in Tuesday
S107580,SUP-17,"geddek vir wyk, siek gemeld"
S102879,SUP-13,"waited 25 min for handover, OB book not signed"
S101725,SUP-16,ok
S105880,SUP-03,"late handover, waiting on paperwork"
S106235,SUP-19,"gedek vir Tshabalala, siek gemeld"
S106457,SUP-16,"USIBIYA AKEZANA NAMHLANJE, NGIMELE YENA.."
S106046,SUP-16,"extra patrol per client email, approved by office"
S107572,SUP-08,-
S106375,SUP-01,"still on site, relieef was suppose to come six"
S103012,SUP-20,Centre mgr requested additional cover for stocktae
S109078,SUP-19,ok
S101275,SUP-11,.
S103735,SUP-16,akukho lutho
S108835,SUP-08,"client wanted extra man on the gate for the event, approved"
S107894,SUP-16,"relief only arrived 0600, stayed until then"
S108026,SUP-11,"srubber broke down, had to do the floor manually"
S108082,SUP-14,quiet shift
S108285,SUP-02,"took Zulu shift as well, 2 posts 1 guard"
S101069,SUP-13,
S107875,SUP-03,"oorhandiging was laat, gewag vir sleutels"
S103391,SUP-17,"relief never arrived, stayed on till six"
S101905,SUP-13,.
S103424,SUP-04,Client requested deep clean before the audit - approved
S103988,SUP-22,"buffeer machine kaput, did the floor by hand"
S105735,SUP-12,"worked through, sibiya at the clinic"
S102953,SUP-04,"gate motoor failed, manned it by hadn till 6"
S106580,SUP-22,"umolefe akezanga namhlanje, ngimele yena"
S108038,SUP-06,"Ndlovu absent, took her rounds as well"
S103338,SUP-20,"late hanodver, waiting on paperwork"
S106132,SUP-16,Covering for Wyk - booked off sick
S107079,SUP-23,Client asked for extra patrol after the break-in Tuesday
S101822,SUP-11,"uSibiya akezanga namhlanje, ngimele yena"
S105051,SUP-09,"handover late again, keys missing"
S103751,SUP-04,"still on site, relief was suppose to come six"
S108478,SUP-18,Next shift guard did not pitch. Had to cover.
S106097,SUP-01,"aflos het nie opgedaag nie, moes aanbly"
S104397,SUP-04,nothing to report
S108061,SUP-16,shift handover delayed by 30 min
S102528,SUP-23,"generator fault, stayed to monitor !"
S100587,SUP-14,Nkosi off sick. agn. coveredd.
S109297,SUP-15,"uBotha akezanga namhlanjje, ngimele yena"
S104857,SUP-18,"client says stay till 06h00, dont know if office approved"
S101939,SUP-15,"waited 50 min for handover, OB book not signed"
S104803,SUP-07,"took Mokoena shift as well, 2 posts 1 guard"
S103509,SUP-06,"double duty today, Baloyi on family responsibility leave"
S104449,SUP-09,sharp
S100032,SUP-08,"control room says relef coming, nobody came"
S101590,SUP-10,"control room says relief coming, nobody came"
S104355,SUP-16,"additional cover requested by site mgr, signed off"
S103661,SUP-08,"aflos het nie opgedaag nie, moes aanbly"
S102838,SUP-16,"client asked us to stay for the delivery, ok'd by centre mgmt.."
S106807,SUP-13,CLIENT ASKED FOR EXTRA PATROL AFTER THE BREAK-IN TUESDAY
S105053,SUP-20,klient het ekstra ure gevra vir stocktake !
S102453,SUP-06,ntr
S101640,SUP-24,all fine
S105352,SUP-24,"client says stay till six, dont know if office approved"
S106225,SUP-24,"GENERATOR FAULT, STAYED TO MONITOR.."
S104164,SUP-10,"scrubber broke don, had to do the floor manually"
S100309,SUP-01,Jacobs off sick. ag.n covered.
S103077,SUP-14,no relif. stayed. someone must please sort the roster
S102386,SUP-19,"took Mabaso shift as well, 2 posts 1 guard"
S101769,SUP-11,"buffer machine kaput, did the floor by hand"
S104379,SUP-23,"uBotha akezanga namhlanje, ngimele yena"
S108123,SUP-04,ntr
S101704,SUP-11,"buffer machine kaput, did the floor by hand !"
S108837,SUP-04,no issues on site
S103018,SUP-07,"next shift akafikanga, ngihlale kuzze kube 06h00"
S106806,SUP-20,"Naidoo didnt come in, covered the post.."
S106376,SUP-03,"took Nkosi shift as well, 2 posts 1 guard"
S106252,SUP-10,"took Naidoo shift as well, 2 posts 1 guard"
S103649,SUP-11,"uNaidoo akezanga namhlanje, ngimele yena"
S107240,SUP-10,"extra patrol per client email, approved by ofice"
S108016,SUP-12,"client says stay till 06h00, dont know if office approved"
S104249,SUP-03,all quiet
S106902,SUP-22,"client says stay till 0600, dont know if office approved"
S102656,SUP-18,"Ngcobo absent, took her rounds as well.."
S109305,SUP-08,"Mokoena absent, took her rounds as well"
S105537,SUP-01,"nkosi absent, took her rounds as well !"
S102317,SUP-14,nothing to report
S104575,SUP-02,no issues on site
S103458,SUP-19,no relief. stayed. someone must please sort the roster !
S102929,SUP-06,"next shift akafikanga, ngihlale kuze kube 6"
S101338,SUP-11,nothing to report
S104868,SUP-09,niks om te rapporteer nie
S107133,SUP-22,relief no show again..
S102570,SUP-09,"sill on site, relief was spupose to come 6am"
S106476,SUP-20,"lift out of order, everything carried up stairs, took lng"
S100784,SUP-10,"worked through, ndlovu at the clinic.."
S106925,SUP-02,"lift out of order, everything carried up stairs, took long"
S107886,SUP-22,shift handover delayed by 50 min
S102295,SUP-01,"jacobs absent, took her rounds as well"
S100775,SUP-06,quiet shift
S103402,SUP-21,"machine down agn, took twice as long"
S105318,SUP-16,client signed for the extra hours but real reason is relief no show agn !
S101812,SUP-13,ntr
S102723,SUP-13,"oorhandiging was laat, gewag vir sleutels"
S105460,SUP-17,"lift out of order, everything carried up stairs, took long"
S101597,SUP-08,"double duty today, maluleke on family responsibility leave.."
S105342,SUP-04,"umthembu akezanga namhlanje, ngimele yena"
S103470,SUP-10,shft handover dealyed by 25 min
S103005,SUP-08,"took dlaminni shift as well, 2 posts 1 guard"
S107332,SUP-01,"gedek vir Hendricks, siek geemeld"
S104121,SUP-10,client requested deep clean before the audt - approved
S103105,SUP-21,fine
S105346,SUP-17,"machien down agn, took twice as long"
S101120,SUP-16,Zulu off sick. agn. covered.
S107414,SUP-04,shift handovver delayed by 50 min
S100713,SUP-18,Naidoo off sick. again. covered..
S106901,SUP-07,"took mthembu shift as well, 2 pots 1 guard"
S100603,SUP-24,"waited for relief, nobody came through"
S107506,SUP-17,"took Wyk shift as well, 2 posts 1 guard"
S105585,SUP-12,"scrubber broke dwn, had to do the floor mnually"
S104423,SUP-06,"DLAMINI DIDNT COME IN, COVERED THE POST"
S104093,SUP-21,"client wanted extra man on the gate for the event, approved"
S109323,SUP-18,"gate motor failed, manned it by hand till 6.."
S103163,SUP-09,n/a
S102367,SUP-01,"took Tshabalala shift as well, 2 posts 1 guadr"
S104076,SUP-06,no incidents
S101592,SUP-17,"additional cover requested by site mgr, signed off.."
S108943,SUP-15,niks om te rapporteer nie
S108665,SUP-09,"client asked us to stay for the delivery, ok'd by centre mgmt"
S101471,SUP-01,"handover late agn, keys missing"
S108186,SUP-10,COVERED FOR NDLOVU AGAIN - 3RD TIME THIS MONTH
S102372,SUP-04,client signed for the extra hours but real reason is relief no show agn
S105629,SUP-16,"waited for relief, nobody came through"
S100238,SUP-02,extra hrs approved by client for the event setup
S103418,SUP-11,extra hours approved by client for the event setup
S108305,SUP-17,klient het ekstra ure gevra vir stocktake
S102972,SUP-13,Next shift guard did not pitch. Had to cover.
S102449,SUP-18,centre mgr requested additional cover for stocktake..
S104536,SUP-18,"COVERING DLAMINI POST, NO SHOW NO CALL"
S108855,SUP-02,"requested by centre management for load in, signed off"
S106382,SUP-22,double shift bc relief never pitched
S104699,SUP-15,"waited 40 min for handover, ob book not signed"
S100284,SUP-04,"double duty today, Sithole on family responsibility leave.."
S106896,SUP-07,Centre manager requested additional cover for stocktake
S102287,SUP-12,extra hrs approved by client for the event setup
S100470,SUP-12,"covering Mabaso post, no show no call.."
S103051,SUP-24,"buffer machine kaput, did the floor by hand"
S101438,SUP-16,"handover late agn, keys missing"
S104956,SUP-06,-
S102887,SUP-14,client signed for the extra hrs but real reason is relieef no show again
S105496,SUP-13,"relief never arrived, stayed on till 06h00 !"
S107708,SUP-06,Covering for Ngcobo - booked off sick
S106406,SUP-23,"additional cover requested by site manager, signed off"
S101394,SUP-20,
S108604,SUP-16,"relief only arrived six, stayed until then"
S101046,SUP-05,"gate motor failed, manned it by hand till six"
S106395,SUP-06,"covering Mthembu postt, no show no call"
S108405,SUP-10,"gate motor failed, manned it by hand till 06:00"
S102416,SUP-18,"generator fault, stayed to monitor"
S104541,SUP-08,"Adams didnt come in, covered the post"
S108993,SUP-01,"next shift akafikanga, ngihlale kuze kube 6"
S105190,SUP-24,as per normal
S106985,SUP-15,"extra patrol per client email, approved by officce"
S103441,SUP-10,relief no show AGAIN
S101222,SUP-20,all good
S100315,SUP-12,"no repacement sent, ngicela sort this out"
S108612,SUP-02,double shift because reief never pitched
S104092,SUP-21,"handover late agn, keys missing"
S107148,SUP-13,all quiet
S109322,SUP-20,Client asked for extra patrol after the break-in Tuesday
S103819,SUP-07,"uJacobs akezanga namhlanje, ngimele yena"
S101795,SUP-13,"machine down agn, took twice as long.."
S106892,SUP-24,"control room sasy relief coming, nobody came"
S100706,SUP-13,"cllient says stay till 6, dont know if office approved"
S100443,SUP-14,all fine
S108441,SUP-20,"bufefr machine kapu, did the floor by hand"
S102862,SUP-11,"no replacement sent, ngicela sort this out"
S102601,SUP-18,Client asked for extra ptrol after the break-in Tuesday
S107530,SUP-14,"uFourie akezanga namhlanje, ngimele yena"
S101714,SUP-22,"relief only arrived 06:00, stayed until then.."
S103445,SUP-22,no relief. stayed. someone must please sort the roster
S100171,SUP-11,Client asked for extra patrol after the break-in Tuesday..
S105092,SUP-15,fine
S105372,SUP-22,sharp
S107478,SUP-19,centre manager requested additional cover for stocktake
S103330,SUP-21,klent het ekstra ure gevra vir stocktake
S103627,SUP-12,cliient signed for the extra hours but real reeason is relief no show agn
S104250,SUP-17,nothing to report
S104099,SUP-02,n/a
S107066,SUP-19,"requested by centre management for load in, signed off"
S103601,SUP-22,jacobs off sick. again. covered.
S105011,SUP-11,Client requested deep clean before the audit - approved
S103634,SUP-17,ntr
S103549,SUP-14,klient het ekstra ure gevra vir stocktake
S106414,SUP-13,"waited 40 min for handover, OB book not signed"
S102937,SUP-18,stood in for Molefe
S106884,SUP-08,"GEDEK VIR HENDRICKS, SIEK GEMELD"
S107859,SUP-22,
S107514,SUP-19,"client wanted extra man on the gate for the event, approved"
S101947,SUP-06,"covering Mabaso post, no show no cll"
S108374,SUP-12,"relief only arrived 06h00, stayyed until then"
S104492,SUP-19,relief no show AGGAIN
S109335,SUP-16,"client asked us to stay for the delivery, ok'd by centre mgmt"
S108103,SUP-20,no incidents
S101011,SUP-23,"handover late again, keys missing"
S107101,SUP-10,quiet shift
S100886,SUP-09,klient het ekstra ure gevra vir stocktake
S103065,SUP-24,"waited 40 min for handover, OB book not signed"
S105811,SUP-11,"still on site, relief was suppose to come 0600"
S100922,SUP-19,"client wanted extra man on the gate for the event, approved"
S107253,SUP-03,"machine down again, took twice as long"
S100473,SUP-17,"clint says stay till six, doont know if office approved"
S101512,SUP-13,"lift out of order, everything carried up stairs, took long"
S105973,SUP-18,"Naidoo abset, took her runds as weell"
S109203,SUP-06,"Fourie absen, took her rounds as well"
S102376,SUP-20,"extra patrol per client emaail, apprroved by office"
S104162,SUP-17,quiet shift
S108378,SUP-23,"covering Jacobs post, no show no call"
S102860,SUP-23,"relief never arrived, stayed on till six.."
S108045,SUP-06,Covered for Sithole agn - 3rd time this month
S100416,SUP-16,"extra patrol per client email, approved by office"
S100553,SUP-24,"control room says relief coming, nobody came"
S106578,SUP-24,centre manager requested additional cover for stocktake !
S103436,SUP-16,"fourie didnt come in, covered the post"
S106657,SUP-09,"waited 30 min for handover, OB book not signed.."
S100222,SUP-20,
S102131,SUP-11,"client asked us to stay for the deliivery, ok'd by centre mgmt"
S102206,SUP-24,all good
S107980,SUP-11,"control room sayys relief coming, noboddy came"
S101027,SUP-04,ntr
S102265,SUP-13,ok
S105840,SUP-14,"no replacement sent, ngicela sort this out"
S104369,SUP-05,"covering sibiya post, no show no call"
S109245,SUP-22,no issues on site
S106428,SUP-14,"waited for relief, nobody came through"
S106726,SUP-14,all quiet
S104286,SUP-04,all good
S109318,SUP-17,"control room says relief coming, nobody came"
S107314,SUP-03,"gedek vir ngcobo, siek gemeld"
S101268,SUP-24,"took Jacobs shift as wel, 2 posts 1 guard"
S103801,SUP-24,sharp
S102117,SUP-17,shift handover delayed by 25 min
S103605,SUP-08,Ngcobo off sick. agn. covered.
S105649,SUP-05,Covered for Zulu again - 3rd time this month
S103805,SUP-10,"covering Zulu post, no sow no call"
S104662,SUP-15,"worked through, Botha at the clinic"
S108863,SUP-09,"double duty today, sithole on family responsibility leave"
S108464,SUP-17,"next shift akafikanga, ngihlale kuze kue six"
S103768,SUP-01,"client wanted extra man on the gate for the event, approved"
S106467,SUP-22,Client asked for extra patrol after the break-in Tuesday
S107876,SUP-17,"relief never arrived, sayed on till 6am"
S108453,SUP-14,"waited 30 min for handover, OB book not signed"
S106960,SUP-23,Client asked for extra patrol after the break-in Tuessday
S107620,SUP-10,client signed for the extra hours but real reason is relief no show again
S106436,SUP-12,"control room says relief coming, nobody came"
S100015,SUP-20,quiet shift
S109351,SUP-01,"waited 45 min for handover, OB book not signed.."
S101865,SUP-17,"handover late again, keys missing"
S100343,SUP-08,"scrubber broke down, had to do the floor manually"
S102628,SUP-18,"lift out of orrder, everything carried up stairs, took long"
S105144,SUP-22,
S106167,SUP-23,Client asked for extra patrol after the break-in Tuseday
S109291,SUP-02,"COVERING MOLEFE POST, NO SHOW NO CALL"
S107036,SUP-24,all quiet
S101324,SUP-10,"requested by centre management for load in, signed off"
S102771,SUP-06,"no replacement sent, ngicela sort this out"
S103828,SUP-09,"lift out of order, everything carried up stairs, took long"
S106963,SUP-01,double shift bc relief never pitched..
S100350,SUP-21,"took Maluleke shiift as well, 2 posts 1 guard.."
S105251,SUP-11,no incidents
S109337,SUP-07,"aflos het nie opgedaag nie, moes aanbly"
S107030,SUP-19,akukho lutho
S107531,SUP-09,"MACHINE DOWN AGN, TOOK TWICE AS LONG"
S103094,SUP-06,"uNaidoo akezanga namhlanje, ngimele yena"
S108359,SUP-02,"gaate motor failed, manned it by hand till 06:00"
S107983,SUP-20,"stocktake ran over, client asked us to remain, they know they pay for it"
S106270,SUP-08,ntr
S104755,SUP-12,as per normal
S108437,SUP-01,"relief never arrived, stayed on till 6"
S108936,SUP-05,all good
S104485,SUP-12,
S107191,SUP-07,Mthembu off sicck. again. covered.
S107032,SUP-02,"oorhandiging was laat, gewag vir sleutels.."
S107658,SUP-02,Jacobs off sic. again. covered.
S102474,SUP-20,akukho lutho
S108807,SUP-20,"gate motor failed, manned it by hand till 06:00"
S105639,SUP-21,as per normal
S103380,SUP-17,Next shift guard did not pitch. Had to cover.
S100305,SUP-02,"uBaloyi akezanga namhlanje, ngimele yena.."
S106612,SUP-18,sharp
S104114,SUP-13,"relief never arrived, stayed on till 6am"
S107752,SUP-13,"generator fault, stayed to monitor"
S103631,SUP-09,"WAITED FOR RELIEF, NOBODY CAME THROUGH"
S101281,SUP-17,akukho lutho
S107724,SUP-09,"stocktake ran over, client asked us to remain, they know they pay for it"
S108830,SUP-21,"requested by cenre management for load in, siged off"
S106222,SUP-17,"scrubber broke down, had to do the floor manually"
S105604,SUP-11,"ndlovu absent, took her rounds as well"
S104081,SUP-07,"no replacement sent, ngicela sort this out"
S107132,SUP-17,stood in for Motaug
S104538,SUP-21,ok
S106341,SUP-06,"double duty today, sibiya on family responsibility leave"
S107889,SUP-22,"additional cover requested by site manager, signed off"
S101533,SUP-02,"gate motor failed, manned it by hand till 06h00"
S103759,SUP-20,"client wanted extra man on the gate for the event, approved"
S105298,SUP-05,nothing to report
S104929,SUP-21,"uMolefe akezanga namhlanje, ngimele yena"
S103561,SUP-13,"toook motaung shift as well, 2 posts 1 guard"
S106152,SUP-05,no issues on site
S103404,SUP-21,"took Dlamini shiift as well, 2 psots 1 guard"
S108615,SUP-16,wyk off sick. again. covered..
S100880,SUP-05,"Ndlovu absent, took her rounds as well"
S106530,SUP-17,shift handover delayed by 25 min
S107460,SUP-17,"stocktake ran over, client asked us to remain, they know they pay for it.."
S105794,SUP-19,Covered for Sithole again - 3rd time this month
S108813,SUP-21,Client asked for extra patrol after the brea-kin Tuesday
S105097,SUP-16,"still on site, relief was suppose to come 06:00"
S104127,SUP-17,"client asked us to stay for the delivery, ok'd by centre mgmt.."
S107343,SUP-15,"umabaso akezanga namhlanje, ngimele yena.."
S107062,SUP-09,"lift out of order, everything carried up stairs, took long"
S100273,SUP-22,Covering for Molefe - booked off sick
S108901,SUP-16,fine
S108349,SUP-15,klieent het ekstra ure gevra vir stocktake
S107147,SUP-22,"machine down again, took twice as long.."
S100281,SUP-19,"requested by centre management for load in, signed off !"
S100538,SUP-23,"client asked us to stay for the delivery, ok'd by centre mgmt.."
S106516,SUP-23,"handover late again, keys missing.."
S108299,SUP-08,no issues on site
S100596,SUP-07,shift handover delayed by 45 min
S102082,SUP-24,"covering Ndlovu post, no show no call"
S104102,SUP-23,"usibiya akezanga namhlanje, ngimele yena.."
S100691,SUP-18,"machine down again, took twice as long"
S104098,SUP-20,fine
S105612,SUP-20,"Botha absent, took her rounds as well.."
S101811,SUP-11,Next shifft guard did not pitch. Had to cover.
S100381,SUP-09,"still on site, relief was supose to come six"
S108015,SUP-15,"COVERING SIBIYA POST, NO SHOW NO CALL"
S106575,SUP-16,"took Mthembu shift as well, 2 possts 1 guard"
S104461,SUP-08,no incidents
S109344,SUP-11,motaung off sick. again. covered.
S105742,SUP-01,"Motaung absent, took her rounds as well"
S107902,SUP-04,"next shift akafikanga, ngihlale kuze kube 06h00"
S108847,SUP-04,"reequested by centre management for load in, signed off.."
S109070,SUP-11,"gedek vir Wyk, siek gemeld"
S105652,SUP-20,"handover late agn, keys missing"
S108189,SUP-19,Client requested deep clean before the audit - approved..
S101786,SUP-03,"handover late agian, keys missing"
S107322,SUP-10,"client says stay till 06h00, dont know if office apprved"
S108597,SUP-01,"handover late an, keys missing.."
S101542,SUP-18,"relief never arrived, stayed on till 06:00"
S102467,SUP-07,sharp
S101960,SUP-04,"requested by centre management for load in, signed off"
S103581,SUP-07,extra hrs approved by client for the event setup
S100291,SUP-16,fine
S100640,SUP-19,quiet shift
S103417,SUP-22,stood in for maluleke
S103787,SUP-07,"generator fault, stayed to monitor"
S106663,SUP-22,"buffer machine kaput, did the floor by hand"
S109355,SUP-20,no incidents
S101494,SUP-03,all quiet
S106413,SUP-05,double shift beccause relief never pitched
S102366,SUP-21,"nxet shift akafikanga, ngihlale kuze kube 06:00"
S109381,SUP-18,"scrubber broke down, had to do the floor manually"
S105820,SUP-01,extra hrs approved by client for the event setup
S103804,SUP-10,all fine
S100567,SUP-21,clint requested deep clean before the audit - approved
S107814,SUP-13,"scrubber broke down, had to do the floor manually !"
S106214,SUP-14,double shift because relief never pitched
S104104,SUP-24,"client asked us to saty for the delivery, ok'd by centre mgmt !"
S108438,SUP-04,stood in for Fuorie..
S106101,SUP-02,"aflos het nie opgedaag nie, mooes aanbly"
S101900,SUP-09,"extra patrol per client email, approved by office"
S101758,SUP-14,Client requested deep clean before the audit - approved
S103750,SUP-08,"gate motor failed, manned it by hand till six"
S104210,SUP-15,"Tshabalala didnt come in, covered the post.."
S102428,SUP-05,"stocktake ran over, client asked us to remain, they know they pay for it"
S101589,SUP-03,"conntrol room says relief coming, nobody came"
S108459,SUP-07,"scrubber broe down, had to do the floor manually"
S106458,SUP-18,"client says stay till 6am, dont know if office approved"
S104579,SUP-13,"handover late agn, keys missing"
S102522,SUP-18,"client says stay till 06:00, dont know if office approved"
S101853,SUP-05,"client says stay till 6, dont know if office approved"
S101531,SUP-03,Covered for Wyk again - 3rd time this month
S101187,SUP-16,
S107895,SUP-21,"still on siet, relief was suppose to come 06:00.."
S106397,SUP-19,client signed for the extra hrs but real reason is relief no show agn
S106711,SUP-17,ntr
S103587,SUP-23,"aflos het nie opgedaag nie, moes aanbly"
S100408,SUP-23,ok
S106940,SUP-17,"Dlmini asent, took her rounds as well"
S106816,SUP-16,no relief. stayed. someone must please sort the rooster
S100299,SUP-11,"waited for relief, nobody came through"
S100549,SUP-18,"requested by centre management for load in, signed off"
S101396,SUP-23,"uMolefe akezanga namhlanje, ngimele yena.."
S100266,SUP-01,klient het ekstra ure gevra vir stocktake
S106166,SUP-06,"double duty today, Fourie on family responsibility leave"
S107510,SUP-14,"covering Mahlangu post, no show no call"
S106069,SUP-24,"gate motor failed, manned it by hand till 0h600"
S107921,SUP-06,extra hours approved by client for the event setup
S100277,SUP-18,shift handover delayed by 20 min
